=== RUN   TestResourceNumericCastSurvey
    meter_evaluate_test.go:186: RESULT {"error":"","output":"1","source":"$round(1.25,0/0)","used":{"Work":83953386,"Allocation":410464,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",0/0)","used":{"Work":67250,"Allocation":83744,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,0/0)","used":{"Work":67155,"Allocation":84866,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,0/0)","used":{"Work":67155,"Allocation":84866,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,1/0)","used":{"Work":83953386,"Allocation":410464,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",1/0)","used":{"Work":67250,"Allocation":83744,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"resource_contract","output":"","source":"$substring(\"abc\",1,1/0)","used":{"Work":67134,"Allocation":82880,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",0,1/0)","used":{"Work":67314,"Allocation":85152,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,-1/0)","used":{"Work":83953386,"Allocation":410464,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",-1/0)","used":{"Work":67250,"Allocation":83744,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,-1/0)","used":{"Work":67155,"Allocation":84866,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,-1/0)","used":{"Work":67155,"Allocation":84866,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,1e300)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",1e300)","used":{"Work":67116,"Allocation":80544,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"resource_contract","output":"","source":"$substring(\"abc\",1,1e300)","used":{"Work":67000,"Allocation":79680,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",0,1e300)","used":{"Work":67180,"Allocation":81952,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,-1e300)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",-1e300)","used":{"Work":67116,"Allocation":80544,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,-1e300)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,-1e300)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,9223372036854775808)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",9223372036854775808)","used":{"Work":67116,"Allocation":80544,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"resource_contract","output":"","source":"$substring(\"abc\",1,9223372036854775808)","used":{"Work":67000,"Allocation":79680,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",0,9223372036854775808)","used":{"Work":67180,"Allocation":81952,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"0","source":"$round(1.25,-9223372036854775808)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"abc\"","source":"$substring(\"abc\",-9223372036854775808)","used":{"Work":67116,"Allocation":80544,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",1,-9223372036854775808)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"\"","source":"$substring(\"abc\",0,-9223372036854775808)","used":{"Work":67021,"Allocation":81666,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"1.2","source":"$round(1.25,1.5)","used":{"Work":83953252,"Allocation":407264,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"bc\"","source":"$substring(\"abc\",1.5)","used":{"Work":67063,"Allocation":80534,"Depth":0}}
    meter_evaluate_test.go:186: RESULT {"error":"","output":"\"b\"","source":"$substring(\"abc\",1,1.5)","used":{"Work":67074,"Allocation":81932,"Depth":0}}
